name,model 1 (large_vox_iter5.pt),model 2 (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,numel,dtype,shape,message
encoder.layers.19.fc1.bias,encoder.layers.19.fc1.bias,av_romanizer.w2v_model.encoder.layers.19.fc1.bias,0.7252110581135595,4.579634023720928,4.4425600155187,0.1583556795930015,0.9875366345046529,0.0523681640625,4096,torch.float32,"(4096,)",
encoder.layers.19.fc1.weight,encoder.layers.19.fc1.weight,av_romanizer.w2v_model.encoder.layers.19.fc1.weight,76.659510397141,318.9087473691795,306.15404595974036,0.24038070774019057,0.970738023104304,0.2740478515625,4194304,torch.float32,"(4096, 1024)",
encoder.layers.19.fc2.bias,encoder.layers.19.fc2.bias,av_romanizer.w2v_model.encoder.layers.19.fc2.bias,0.3956314318096134,6.416469615292959,6.145273430011116,0.06165874001283647,0.9989478209709268,0.0367431640625,1024,torch.float32,"(1024,)",
encoder.layers.19.fc2.weight,encoder.layers.19.fc2.weight,av_romanizer.w2v_model.encoder.layers.19.fc2.weight,78.39510678231208,334.83441795052664,321.978505286676,0.2341309691583,0.9722634875111777,0.27239990234375,4194304,torch.float32,"(1024, 4096)",
encoder.layers.19.final_layer_norm.bias,encoder.layers.19.final_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.19.final_layer_norm.bias,0.4871038025240472,7.918372164474884,7.5711061059761295,0.061515648975100944,0.9990268993133639,0.0576171875,1024,torch.float32,"(1024,)",
encoder.layers.19.final_layer_norm.weight,encoder.layers.19.final_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.19.final_layer_norm.weight,1.181688424396804,34.7796011557052,33.99782577590022,0.033976480038011056,0.9996679658656672,0.1435546875,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn.k_proj.bias,encoder.layers.19.self_attn.k_proj.bias,av_romanizer.w2v_model.encoder.layers.19.self_attn.k_proj.bias,0.018695337601082232,0.11389208708879935,0.107995879327612,0.16414957420620327,0.987205140130687,0.003856658935546875,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn.k_proj.weight,encoder.layers.19.self_attn.k_proj.weight,av_romanizer.w2v_model.encoder.layers.19.self_attn.k_proj.weight,29.405120376119186,124.2474614643682,119.53144162051733,0.23666576386795649,0.9716385045789323,0.171875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.19.self_attn.out_proj.bias,encoder.layers.19.self_attn.out_proj.bias,av_romanizer.w2v_model.encoder.layers.19.self_attn.out_proj.bias,0.32757026907661313,5.257045247887274,5.081434690899774,0.06231071897436276,0.9985688192474885,0.0355224609375,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn.out_proj.weight,encoder.layers.19.self_attn.out_proj.weight,av_romanizer.w2v_model.encoder.layers.19.self_attn.out_proj.weight,32.85090250357802,179.1151539888138,170.93015607222827,0.1834066061525405,0.983469728034883,0.1737060546875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.19.self_attn.q_proj.bias,encoder.layers.19.self_attn.q_proj.bias,av_romanizer.w2v_model.encoder.layers.19.self_attn.q_proj.bias,0.7876492082478066,8.356491316297058,8.122417231022547,0.0942559716075707,0.9958335075088662,0.111328125,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn.q_proj.weight,encoder.layers.19.self_attn.q_proj.weight,av_romanizer.w2v_model.encoder.layers.19.self_attn.q_proj.weight,29.20880844576362,121.61533415505532,117.11891256739153,0.24017373013606494,0.9707607233108789,0.1591796875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.19.self_attn.v_proj.bias,encoder.layers.19.self_attn.v_proj.bias,av_romanizer.w2v_model.encoder.layers.19.self_attn.v_proj.bias,0.3068274088113717,2.7707128503716025,2.6318745126339946,0.11073951917111173,0.99486661790411,0.04241943359375,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn.v_proj.weight,encoder.layers.19.self_attn.v_proj.weight,av_romanizer.w2v_model.encoder.layers.19.self_attn.v_proj.weight,28.090284016550847,178.82115660463512,170.6512856801379,0.157085909463482,0.9881649652912758,0.1563720703125,1048576,torch.float32,"(1024, 1024)",
encoder.layers.19.self_attn_layer_norm.bias,encoder.layers.19.self_attn_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.19.self_attn_layer_norm.bias,0.23694261279679585,1.6760842943088508,1.6208783363054347,0.14136676395175063,0.9902283022370221,0.03271484375,1024,torch.float32,"(1024,)",
encoder.layers.19.self_attn_layer_norm.weight,encoder.layers.19.self_attn_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.19.self_attn_layer_norm.weight,0.48768196332121316,8.904846121961121,8.945124343908855,0.05476590573738186,0.9985172839546447,0.05419921875,1024,torch.float32,"(1024,)",
encoder.layers.2.fc1.bias,encoder.layers.2.fc1.bias,av_romanizer.w2v_model.encoder.layers.2.fc1.bias,0.7726713449599346,2.7340724348356567,3.005205413556981,0.28260822029259053,0.968142691740067,0.05364990234375,4096,torch.float32,"(4096,)",
