name,llama (Llama-3.2-3B),lora (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,delta_l1,delta_density,numel,dtype,shape,lora_rank,lora_alpha,lora_scale,lora_up,lora_down,message
model.layers.14.self_attn.q_proj.weight,model.layers.14.self_attn.q_proj.weight,llama.model.layers.14.self_attn.q_proj,5.48620279738448,78.98820118492657,79.18015643349149,0.06945597842569201,0.9975967267861333,0.022777272388339043,12245.401694427059,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.14.self_attn.q_proj.lora_B.default.weight,llama.model.layers.14.self_attn.q_proj.lora_A.default.weight,
model.layers.18.self_attn.q_proj.weight,model.layers.18.self_attn.q_proj.weight,llama.model.layers.18.self_attn.q_proj,5.449177399754181,75.42743875560886,75.62514797096138,0.07224396704506918,0.9974006532829668,0.02576187066733837,12327.650103965338,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.18.self_attn.q_proj.lora_B.default.weight,llama.model.layers.18.self_attn.q_proj.lora_A.default.weight,
model.layers.19.self_attn.q_proj.weight,model.layers.19.self_attn.q_proj.weight,llama.model.layers.19.self_attn.q_proj,5.392537157318012,73.76669189393652,73.96553957583555,0.07310260252786621,0.997338811539952,0.029025524854660034,12209.567665636063,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.19.self_attn.q_proj.lora_B.default.weight,llama.model.layers.19.self_attn.q_proj.lora_A.default.weight,
model.layers.17.self_attn.q_proj.weight,model.layers.17.self_attn.q_proj.weight,llama.model.layers.17.self_attn.q_proj,5.385065714926903,75.98282277150884,76.17440691226194,0.07087214607860202,0.9974980566535516,0.020199380815029144,12162.244523611367,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.17.self_attn.q_proj.lora_B.default.weight,llama.model.layers.17.self_attn.q_proj.lora_A.default.weight,
model.layers.19.self_attn.o_proj.weight,model.layers.19.self_attn.o_proj.weight,llama.model.layers.19.self_attn.o_proj,5.348575596896699,49.680884606005904,49.960455745639145,0.1076586224120919,0.9942529843782906,0.04111739993095398,12659.204587756365,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.19.self_attn.o_proj.lora_B.default.weight,llama.model.layers.19.self_attn.o_proj.lora_A.default.weight,
model.layers.20.self_attn.q_proj.weight,model.layers.20.self_attn.q_proj.weight,llama.model.layers.20.self_attn.q_proj,5.322275619935478,73.62938562184328,73.82435207619314,0.07228466698432622,0.9973978595827677,0.01988605409860611,12242.436082196302,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.20.self_attn.q_proj.lora_B.default.weight,llama.model.layers.20.self_attn.q_proj.lora_A.default.weight,
model.layers.17.self_attn.o_proj.weight,model.layers.17.self_attn.o_proj.weight,llama.model.layers.17.self_attn.o_proj,5.172198594729679,48.76504967061807,49.03200565013846,0.1060636383980971,0.9944207789477055,0.013881400227546692,12261.907915652351,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.17.self_attn.o_proj.lora_B.default.weight,llama.model.layers.17.self_attn.o_proj.lora_A.default.weight,
model.layers.3.self_attn.q_proj.weight,model.layers.3.self_attn.q_proj.weight,llama.model.layers.3.self_attn.q_proj,5.167716418059691,77.73323203976442,77.91385496529037,0.06648014346574638,0.9977980114771137,0.0191333070397377,11599.325024711892,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.3.self_attn.q_proj.lora_B.default.weight,llama.model.layers.3.self_attn.q_proj.lora_A.default.weight,
model.layers.16.self_attn.q_proj.weight,model.layers.16.self_attn.q_proj.weight,llama.model.layers.16.self_attn.q_proj,5.131749011202403,77.46150868549708,77.63282532813415,0.06624901965230129,0.997812816616906,0.019502660259604454,11634.878572818197,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.16.self_attn.q_proj.lora_B.default.weight,llama.model.layers.16.self_attn.q_proj.lora_A.default.weight,
model.layers.13.self_attn.q_proj.weight,model.layers.13.self_attn.q_proj.weight,llama.model.layers.13.self_attn.q_proj,4.952370904801872,72.91857342332497,73.09212702990033,0.06791645354951119,0.9977019796319669,0.02256821095943451,11071.727366910563,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.13.self_attn.q_proj.lora_B.default.weight,llama.model.layers.13.self_attn.q_proj.lora_A.default.weight,
model.layers.2.self_attn.q_proj.weight,model.layers.2.self_attn.q_proj.weight,llama.model.layers.2.self_attn.q_proj,4.840114976045948,78.67898263435555,78.83065581852954,0.06151725421437375,0.9981133088849018,0.021999258548021317,10870.479957381225,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.2.self_attn.q_proj.lora_B.default.weight,llama.model.layers.2.self_attn.q_proj.lora_A.default.weight,
model.layers.4.self_attn.q_proj.weight,model.layers.4.self_attn.q_proj.weight,llama.model.layers.4.self_attn.q_proj,4.755898487005572,78.85718263829932,79.003375160647,0.060310276475636214,0.9981864159142542,0.019249023869633675,10699.184368314975,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.4.self_attn.q_proj.lora_B.default.weight,llama.model.layers.4.self_attn.q_proj.lora_A.default.weight,
